Column Name,Data Type,Description
id,bigint,"Unique id representing a release, compiled_release or record"
award_index,bigint,Position of the award in the awards array
document_index,bigint,Position of the document in the documents array
release_type,text,"Either release, compiled_release, record, embedded_release. compiled_releases are releases generated by Kingfisher release compilation. embedded_releases are found in the releases array of a record."
collection_id,integer,id from Kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevant for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in Kingfisher that holds the original JSON data."
document,jsonb,JSONB of the document
documenttype,text,`documentType` field from the document object
format,text,`format` field from the document object
