Column Name,Data Type,Description
id,bigint,"Unique id representing a release, compiled_release or record"
award_index,bigint,Position of the award in the awards array
item_index,bigint,Position of the item in the items array
release_type,text,"Either release, compiled_release, record, embedded_release. compiled_releases are releases generated by Kingfisher release compilation"
collection_id,integer,id from Kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevant for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in Kingfisher that holds the original JSON data."
item,jsonb,JSONB of item object
item_id,text,`id` field in the item object
quantity,numeric,`quantity` from the item object
unit_amount,numeric,`amount` from the unit/value object
unit_currency,text,`currency` from the unit/value object
item_classification,text,Concatenation of classification/scheme and classification/id
item_additionalidentifiers_ids,jsonb,JSONB list of the concatenation of additionalClassification/scheme and additionalClassification/id
additional_classification_count,integer,Count of additional classifications
