Column Name,Data Type,Description
id,bigint,"Unique id representing a release, compiled_release or record"
award_index,bigint,Position of the award in the awards array
supplier_index,bigint,Position of the supplier in the supplier array
release_type,text,"Either release, compiled_release or record. compiled_releases are releases generated by kingfisher release compilation"
collection_id,integer,id from kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevant for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in kingfisher that holds the original JSON data."
supplier,jsonb,JSONB of supplier object
supplier_parties_id,text,`id` from supplier object
supplier_identifier,text,Concatenation of `scheme` and `id` from `identifier` object in the form `<scheme>-<id>`
unique_identifier_attempt,text,"The `id` from party object if it exists, otherwise the identifier described above if it exists, otherwise the party name"
supplier_additionalidentifiers_ids,jsonb,JSONB list of the concatenating scheme and id of all additionalidentifier objects
supplier_additionalidentifiers_count,integer,Count of additional identifiers
link_to_parties,integer,"Does this buyer link to a party in the parties array using the `id` field from buyer object linking to the `id` field in a party object? If this is true then 1, otherwise 0"
link_with_role,integer,If there is a link does the parties object have `suppliers` in its roles list? If it does then 1 otherwise 0
party_index,bigint,Position of the party in the parties array
