Column Name,Data Type,Description
id,bigint,
award_index,bigint,
release_type,text,
collection_id,integer,
ocid,text,
release_id,text,
data_id,integer,
award_id,text,
award_title,text,
award_status,text,
award_description,text,
award_value_amount,numeric,
award_value_currency,text,
award_date,timestamp,
award_contractperiod_startdate,timestamp,
award_contractperiod_enddate,timestamp,
award_contractperiod_maxextentdate,timestamp,
award_contractperiod_durationindays,numeric,
suppliers_count,integer,
documents_count,bigint,
documenttype_counts,jsonb,
items_count,bigint,
