Column Name,Data Type,Description
id,bigint,"An identifier for a row in the Kingfisher Process ``release``, ``compiled_release`` or ``record`` table"
contract_index,bigint,Position of the contract in the ``contracts`` array
item_index,bigint,Position of the item in the ``items`` array
release_type,text,"Either ""release"", ""compiled_release"", ""record"" or ""embedded_release"". If ""release"", the data was read from the ``release`` table. If ""compiled_release"", the data was read from the ``compiled_release`` table. If ""record"", the data was read from a record's ``compiledRelease`` field in the ``record`` table. If ""embedded_releases"", the data was read from a record's ``releases`` array in the ``record`` table."
collection_id,integer,``id`` from the Kingfisher Process ``collection`` table
ocid,text,Value of the ``ocid`` field in the release object
release_id,text,"Value of the ``id`` field in the release object (``NULL`` if the ``release_type`` is ""compiled_release"" or ""record"")"
data_id,integer,``id`` from the Kingfisher Process ``data`` table
item,jsonb,The item object
item_id,text,Value of the ``id`` field in the item object
quantity,numeric,Value of the ``quantity`` field in the item object
unit_value_amount,numeric,Value of the ``unit/value/amount`` field in the item object
unit_value_currency,text,Value of the ``unit/value/currency`` field in the item object
classification,text,Hyphenation ``classification/scheme`` and ``classification/id`` in the party object
additionalclassifications_ids,jsonb,Hyphenation of ``scheme`` and ``id`` for each entry of the ``additionalClassifications`` array in the item object
total_additionalclassifications,integer,Length of the ``additionalClassifications`` array in the item object
field_list,jsonb,"All JSON paths in the item object, expressed as a JSONB object in which keys are paths and values are numbers of occurrences. Paths exclude array indices.This column is only available if the --field-lists option is used."
