Column Name,Data Type,Description
id,bigint,"Unique id representing a release, compiled_release or record"
contract_index,bigint,Position of the contract in the contracts array
release_type,text,"Either release, record, compiled_release or embedded_release. With ""release"", individual releases are read through the release table. With ""record"", a compiled release is read from a record's compiledRelease field through the record table. With ""compiled_release"", a compiled release is read through the compiled_release table, which is calculated by Kingfisher Process (for example, by merging a collection of releases). With ""embedded_releases"", individual releases are read from a record's releases array through the record table."
collection_id,integer,id from Kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevant for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in Kingfisher that holds the original JSON data."
awardid,text,`awardID` field in contract object
link_to_awards,integer,If there is an award with the above `awardID` then 1 otherwise 0
contract_id,text,`id` field from contract object
contract_title,text,`title` field from contract object
contract_status,text,`status` field from contract object
contract_description,text,`description` field from contract object
contract_value_amount,numeric,`amount` field from value object
contract_value_currency,text,`currency` field from value object
datesigned,timestamp,`dateSigned` from contract object
contract_period_startdate,timestamp,`startDate` field from contractPeriod
contract_period_enddate,timestamp,`endDate` field from contractPeriod
contract_period_maxextentdate,timestamp,`maxExtentDate` field from contractPeriod
contract_period_durationindays,numeric,`durationInDays` field from contractPeriod
total_documents,bigint,Number of documents in documents array
documenttype_counts,jsonb,JSONB object with the keys as unique documentTypes and the values as count of the appearances of that `documentType` in the `documents` array
total_milestones,bigint,Count of milestones
milestonetype_counts,jsonb,JSONB object with the keys as unique milestoneTypes and the values as a count of the appearances of that `milestoneType` in the `milestones` array
total_items,bigint,Count of items
total_implementation_documents,bigint,Number of documents in documents array
implementation_documenttype_counts,jsonb,JSONB object with the keys as unique documentTypes and the values as count of the appearances of that `documentType` in the `documents` array
total_implementation_milestones,bigint,Number of documents in documents array
implementation_milestonetype_counts,jsonb,JSONB object with the keys as unique milestoneTypes and the values as count of the appearances of that `milestoneType` in the `milestone` array
contract,jsonb,JSONB of contract object
field_list,jsonb,"All JSON paths in the contract object, excluding array indices, expressed as a JSONB object in which keys are paths and values are NULL. This column is only available if the --field-lists option was used."
