Column Name,Data Type,Description
id,bigint,
contract_index,bigint,
release_type,text,
collection_id,integer,
ocid,text,
release_id,text,
data_id,integer,
awardid,text,
link_to_awards,integer,
contract_id,text,
title,text,
status,text,
description,text,
value_amount,numeric,
value_currency,text,
datesigned,timestamp,
period_startdate,timestamp,
period_enddate,timestamp,
period_maxextentdate,timestamp,
period_durationindays,numeric,
total_documents,bigint,
document_documenttype_counts,jsonb,
total_milestones,bigint,
milestone_type_counts,jsonb,
total_items,bigint,
total_implementation_documents,bigint,
implementation_document_documenttype_counts,jsonb,
total_implementation_milestones,bigint,
implementation_milestone_type_counts,jsonb,
