Column Name,Data Type,Description
id,bigint,"An identifier for a row in the Kingfisher Process ``release``, ``record`` or ``compiled_release`` table"
party_index,bigint,Position of the party in the ``parties`` array
release_type,text,"Either ""release"", ""record"", ""compiled_release"" or ""embedded_release"". If ""release"", the data was read from the ``release`` table. If ""record"", the data was read from a record's ``compiledRelease`` field in the ``record`` table. If ""compiled_release"", the data was read from the ``compiled_release`` table. If ""embedded_releases"", the data was read from a record's ``releases`` array in the ``record`` table."
collection_id,integer,``id`` from the Kingfisher Process ``collection`` table
ocid,text,Value of the ``ocid`` field in the release object
release_id,text,"Value of the ``id`` field in the release object (``NULL`` if the ``release_type`` is ""record"" or ""compiled_release"")"
data_id,integer,``id`` of the row in the Kingfisher Process ``data`` table
parties_id,text,Value of the ``id`` field in the party object
roles,jsonb,Value of the ``roles`` array in the party object
identifier,text,Concatenation of ``scheme`` and ``id`` from ``identifier`` object in the form `<scheme>-<id>`
unique_identifier_attempt,text,"The ``id`` from party object if it exists, otherwise the identifier described above if it exists, otherwise the party name"
additionalidentifiers_ids,jsonb,JSONB list of the concatenation of scheme and id of all additionalIdentifier objects
total_additionalidentifiers,integer,Length of the ``additionalIdentifiers`` array in the party object
party,jsonb,The party object
