Column Name,Data Type,Description
id,bigint,"Unique id representing a release, compiled_release or record"
document_index,bigint,
release_type,text,"Either release, compiled_release or record. compiled_release are releases generated by kingfisher release compilation"
collection_id,integer,id from kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevent for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in kingfisher that holds the original JSON data."
document,jsonb,
documenttype,text,
format,text,
