Column Name,Data Type,Description
id,bigint,"Unique id representing a release, compiled_release or record"
milestone_index,bigint,Position of the milestone in the milestone array
release_type,text,"Either release, compiled_release or record. compiled_releases are releases generated by Kingfisher release compilation"
collection_id,integer,id from Kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevant for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in Kingfisher that holds the original JSON data."
milestone,jsonb,JSONB of milestone object
type,text,`type` from milestone object
code,text,`code` from milestone object
status,text,`status` from milestone object
