Column Name,Data Type,Description
id,bigint,"An identifier for a row in the Kingfisher Process ``release``, ``compiled_release`` or ``record`` table"
relatedprocess_index,bigint,Position of the relatedProcess in the ``relatedProcesses`` array
release_type,text,"Either ""release"", ""compiled_release"", ""record"" or ""embedded_release"". If ""release"", the data was read from the ``release`` table. If ""compiled_release"", the data was read from the ``compiled_release`` table. If ""record"", the data was read from a record's ``compiledRelease`` field in the ``record`` table. If ""embedded_releases"", the data was read from a record's ``releases`` array in the ``record`` table."
collection_id,integer,``id`` from the Kingfisher Process ``collection`` table
ocid,text,Value of the ``ocid`` field in the release object
release_id,text,"Value of the ``id`` field in the release object (``NULL`` if the ``release_type`` is ""compiled_release"" or ""record"")"
data_id,integer,``id`` from the Kingfisher Process ``data`` table
relatedprocess,jsonb,The related process object
relatedprocess_id,text,Value of the ``id`` field in the related process object
relationship,jsonb,Value of the ``relationship`` field in the related process object
title,text,Value of the ``title`` field in the related process object
scheme,text,Value of the ``scheme`` field in the related process object
identifier,text,Value of the ``identifier`` field in the related process object
uri,text,Value of the ``uri`` field in the related process object
field_list,jsonb,"All JSON paths in the relatedprocess object, expressed as a JSONB object in which keys are paths and values are numbers of occurrences. Paths exclude array indices. This column is only available if the --field-lists option is used."
