Column Name,Data Type,Description
id,bigint,"Unique id representing a release, compiled_release or record"
release_type,text,"Either release, compiled_release or record. compiled_release are releases generated by kingfisher release compilation"
table_id,integer,
collection_id,integer,id from kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevent for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in kingfisher that holds the original JSON data."
package_data_id,integer,
package_version,text,
release_date,timestamp,
release_tag,jsonb,
release_language,text,
role_counts,jsonb,
total_roles,numeric,
total_parties,bigint,
award_count,bigint,
first_award_date,timestamp,
last_award_date,timestamp,
total_award_documents,numeric,
total_award_items,numeric,
total_award_suppliers,bigint,
award_amount,numeric,
unique_award_suppliers,bigint,
award_documenttype_counts,jsonb,
contract_count,bigint,
total_contract_link_to_awards,bigint,
contract_amount,numeric,
first_contract_datesigned,timestamp,
last_contract_datesigned,timestamp,
total_contract_documents,numeric,
total_contract_milestones,numeric,
total_contract_items,numeric,
total_contract_implementation_documents,numeric,
total_contract_implementation_milestones,numeric,
contract_documenttype_counts,jsonb,
contract_implemetation_documenttype_counts,jsonb,
contract_milestonetype_counts,jsonb,
contract_implementation_milestonetype_counts,jsonb,
total_documenttype_counts,jsonb,
total_documents,numeric,
milestonetype_counts,jsonb,
total_milestones,numeric,
