Column Name,Data Type,Description
id,integer,
release_type,text,
table_id,integer,
collection_id,integer,
ocid,text,
release_id,text,
data_id,integer,
package_data_id,integer,
package_version,text,
release_date,timestamp,
release_tag,jsonb,
release_language,text,
role_counts,jsonb,
total_roles,numeric,
total_parties,bigint,
award_count,bigint,
first_award_date,timestamp,
last_award_date,timestamp,
total_award_documents,numeric,
total_award_items,numeric,
total_award_suppliers,bigint,
award_amount,numeric,
unique_award_suppliers,bigint,
award_documenttype_counts,jsonb,
contract_count,bigint,
total_contract_link_to_awards,bigint,
contract_amount,numeric,
first_contract_datesigned,timestamp,
last_contract_datesigned,timestamp,
total_contract_documents,numeric,
total_contract_milestones,numeric,
total_contract_items,numeric,
total_contract_implementation_documents,numeric,
total_contract_implementation_milestones,numeric,
contract_documenttype_counts,jsonb,
contract_implemetation_documenttype_counts,jsonb,
contract_milestonetype_counts,jsonb,
contract_implementation_milestonetype_counts,jsonb,
total_documenttype_counts,jsonb,
total_documents,numeric,
milestonetype_counts,jsonb,
total_milestones,numeric,
source_id,text,
data_version,timestamp,
store_start_at,timestamp,
store_end_at,timestamp,
sample,boolean,
transform_type,text,
transform_from_collection_id,integer,
deleted_at,timestamp,
release_check,jsonb,
release_check11,jsonb,
record_check,jsonb,
record_check11,jsonb,
