Column Name,Data Type,Description
id,bigint,"Unique id representing a release, compiled_release or record"
milestone_index,bigint,Position of the milestone in the milestone array
release_type,text,"Either release, record, compiled_release or embedded_release. With ""release"", individual releases are read through the release table. With ""record"", a compiled release is read from a record's compiledRelease field through the record table. With ""compiled_release"", a compiled release is read through the compiled_release table, which is calculated by Kingfisher Process (for example, by merging a collection of releases). With ""embedded_releases"", individual releases are read from a record's releases array through the record table."
collection_id,integer,id from Kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevant for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in Kingfisher that holds the original JSON data."
milestone,jsonb,JSONB of milestone object
type,text,`type` from milestone object
code,text,`code` from milestone object
status,text,`status` from milestone object
field_list,ARRAY,Array of paths for the milestone object. Paths excluding index numbers for arrays.This field will only appear if --field-lists option is specified
