Column Name,Data Type,Description
id,bigint,"An identifier for a row in the Kingfisher Process ``release``, ``compiled_release`` or ``record`` table"
release_type,text,"Either ""release"", ""compiled_release"", ""record"" or ""embedded_release"". If ""release"", the data was read from the ``release`` table. If ""compiled_release"", the data was read from the ``compiled_release`` table. If ""record"", the data was read from a record's ``compiledRelease`` field in the ``record`` table. If ""embedded_releases"", the data was read from a record's ``releases`` array in the ``record`` table."
collection_id,integer,``id`` from the Kingfisher Process ``collection`` table
ocid,text,Value of the ``ocid`` field in the release object
release_id,text,"Value of the ``id`` field in the release object (``NULL`` if the ``release_type`` is ""compiled_release"" or ""record"")"
data_id,integer,``id`` from the Kingfisher Process ``data`` table
tender_id,text,Value of the ``id`` field in the tender object
title,text,Value of the ``title`` field in the tender object
status,text,Value of the ``status`` field in the tender object
description,text,Value of the ``description`` field in the tender object
value_amount,numeric,Value of the ``value/amount`` field in the tender object
value_currency,text,Value of the ``value/currency`` field in the tender object
minvalue_amount,numeric,Value of the ``minValue/amount`` field in the tender object
minvalue_currency,text,Value of the ``minValue/currency`` field in the tender object
procurementmethod,text,Value of the ``procurementMethod`` field in the tender object
mainprocurementcategory,text,Value of the ``mainProcurementCategory`` field in the tender object
additionalprocurementcategories,jsonb,Value of the ``additionalProcurementCategories`` field in the tender object
awardcriteria,text,Value of the ``awardCriteria`` field in the tender object
submissionmethod,text,Value of the ``submissionMethod`` field in the tender object
tenderperiod_startdate,timestamp,Value of the ``tenderPeriod/startDate`` field in the tender object
tenderperiod_enddate,timestamp,Value of the ``tenderPeriod/endDate`` field in the tender object
tenderperiod_maxextentdate,timestamp,Value of the ``tenderPeriod/maxExtentDate`` field in the tender object
tenderperiod_durationindays,numeric,Value of the ``tenderPeriod/durationInDays`` field in the tender object
enquiryperiod_startdate,timestamp,Value of the ``enquiryPeriod/startDate`` field in the tender object
enquiryperiod_enddate,timestamp,Value of the ``enquiryPeriod/endDate`` field in the tender object
enquiryperiod_maxextentdate,timestamp,Value of the ``enquiryPeriod/maxExtentDate`` field in the tender object
enquiryperiod_durationindays,numeric,Value of the ``enquiryPeriod/durationInDays`` field in the tender object
hasenquiries,text,Value of the ``hasEnquiries`` field in the tender object
eligibilitycriteria,text,Value of the ``eligibilityCriteria`` field in the tender object
awardperiod_startdate,timestamp,Value of the ``awardPeriod/startDate`` field in the tender object
awardperiod_enddate,timestamp,Value of the ``awardPeriod/endDate`` field in the tender object
awardperiod_maxextentdate,timestamp,Value of the ``awardPeriod/maxExtentDate`` field in the tender object
awardperiod_durationindays,numeric,Value of the ``awardPeriod/durationInDays`` field in the tender object
contractperiod_startdate,timestamp,Value of the ``contractPeriod/startDate`` field in the tender object
contractperiod_enddate,timestamp,Value of the ``contractPeriod/endDate`` field in the tender object
contractperiod_maxextentdate,timestamp,Value of the ``contractPeriod/maxExtentDate`` field in the tender object
contractperiod_durationindays,numeric,Value of the ``contractPeriod/durationInDays`` field in the tender object
numberoftenderers,numeric,Value of the ``numberOfTenderers`` field in the tender object
total_tenderers,integer,Length of the ``tenderers`` array in the tender object
total_documents,bigint,Length of the ``documents`` array in the tender object
document_documenttype_counts,jsonb,JSONB object in which each key is a unique ``documentType`` value and each value is its number of occurrences in the ``documents`` array of the tender object
total_milestones,bigint,Length of the ``milestones`` array in the tender object
milestone_type_counts,jsonb,JSONB object in which each key is a unique ``type`` value and each value is its number of occurrences in the ``milestones`` array of the tender object
total_items,bigint,Length of the ``items`` array in the tender object
tender,jsonb,The tender object
field_list,jsonb,"All JSON paths in the tender object, excluding array indices, expressed as a JSONB object in which keys are paths and values are numbers of occurrences. This column is only available if the --field-lists option is used."
