Column Name,Data Type,Description
id,integer,
award_​index,bigint,
release_​type,text,
collection_​id,integer,
ocid,text,
release_​id,text,
data_​id,integer,
award,jsonb,
award_​id,text,
award_​title,text,
award_​status,text,
award_​value_​amount,numeric,
award_​value_​currency,text,
award_​date,timestamp without time zone,
award_​contractperiod_​startdate,timestamp without time zone,
award_​contractperiod_​enddate,timestamp without time zone,
award_​contractperiod_​maxextentdate,timestamp without time zone,
award_​contractperiod_​durationindays,numeric,
suppliers_​count,integer,
documents_​count,bigint,
documenttype_​counts,jsonb,
items_​count,bigint,
