Column Name,Data Type,Description
id,integer,"Unique id representing a release, compiled_release or record"
contract_index,bigint,
item_index,bigint,
release_type,text,"Either release, compiled_release or record. compiled_release are releases generated by kingfisher release compilation"
collection_id,integer,id from kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevent for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in kingfisher that holds the original JSON data."
item,jsonb,
item_id,jsonb,
quantity,numeric,
unit_amount,numeric,
unit_currency,text,
item_classifiaction,text,
item_additionalidentifiers_ids,jsonb,
additional_classification_count,integer,
