Column Name,Data Type,Description
id,integer,"Unique id representing a release, compiled_release or record"
contract_index,bigint,
release_type,text,"Either release, compiled_release or record. compiled_release are releases generated by kingfisher release compilation"
collection_id,integer,id from kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevent for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in kingfisher that holds the original JSON data."
contract,jsonb,
award_id,text,
link_to_awards,integer,
contract_id,text,
contract_title,text,
contract_status,text,
contract_value_amount,numeric,
contract_value_currency,text,
datesigned,text,
contract_period_startdate,timestamp,
contract_period_enddate,timestamp,
contract_period_maxextentdate,timestamp,
contract_period_durationindays,numeric,
documents_count,bigint,
documenttype_counts,jsonb,
milestones_count,bigint,
milestonetype_counts,jsonb,
items_count,bigint,
implementation_documents_count,bigint,
implementation_documenttype_counts,jsonb,
implementation_milestones_count,bigint,
implementation_milestonetype_counts,jsonb,
