Column Name,Data Type,Description
id,integer,
release_​type,text,
table_​id,integer,
collection_​id,integer,
ocid,text,
release_​id,text,
data_​id,integer,
package_​data_​id,integer,
package_​version,text,
release_​date,timestamp without time zone,
release_​tag,jsonb,
release_​language,text,
role_​counts,jsonb,
total_​roles,numeric,
total_​parties,bigint,
award_​count,bigint,
first_​award_​date,timestamp without time zone,
last_​award_​date,timestamp without time zone,
total_​award_​documents,numeric,
total_​award_​items,numeric,
total_​award_​suppliers,bigint,
award_​amount,numeric,
unique_​award_​suppliers,bigint,
award_​documenttype_​counts,jsonb,
contract_​count,bigint,
total_​contract_​link_​to_​awards,bigint,
contract_​amount,numeric,
first_​contract_​datesigned,text,
last_​contract_​datesigned,text,
total_​contract_​documents,numeric,
total_​contract_​milestones,numeric,
total_​contract_​items,numeric,
total_​contract_​implementation_​documents,numeric,
total_​contract_​implementation_​milestones,numeric,
contract_​documenttype_​counts,jsonb,
contract_​implemetation_​documenttype_​counts,jsonb,
contract_​milestonetype_​counts,jsonb,
contract_​implementation_​milestonetype_​counts,jsonb,
total_​documenttype_​counts,jsonb,
total_​documents,numeric,
milestonetype_​counts,jsonb,
total_​milestones,numeric,
