Column Name,Data Type,Description
id,integer,"Unique id representing a release, compiled_release or record"
release_type,text,"Either release, compiled_release or record. compiled_release are releases generated by kingfisher release compilation"
collection_id,integer,id from kingfisher collection table
ocid,text,ocid from the data
release_id,text,Release id from the data. Relevent for releases and not for compiled_releases or records
data_id,integer,"id for the ""data"" table in kingfisher that holds the original JSON data."
tender_id,text,
tender_title,text,
tender_status,text,
tender_value_amount,timestamp,
tender_value_currency,text,
tender_minvalue_amount,numeric,
tender_minvalue_currency,text,
tender_procurementmethod,jsonb,
tender_mainprocurementcategory,text,
tender_additionalprocurementcategories,jsonb,
tender_awardcriteria,text,
tender_submissionmethod,text,
tender_tenderperiod_startdate,timestamp,
tender_tenderperiod_enddate,timestamp,
tender_tenderperiod_maxextentdate,timestamp,
tender_tenderperiod_durationindays,numeric,
tender_enquiryperiod_startdate,timestamp,
tender_enquiryperiod_enddate,timestamp,
tender_enquiryperiod_maxextentdate,timestamp,
tender_enquiryperiod_durationindays,numeric,
tender_hasenquiries,text,
tender_eligibilitycriteria,text,
tender_awardperiod_startdate,timestamp,
tender_awardperiod_enddate,timestamp,
tender_awardperiod_maxextentdate,timestamp,
tender_awardperiod_durationindays,numeric,
tender_contractperiod_startdate,timestamp,
tender_contractperiod_enddate,timestamp,
tender_contractperiod_maxextentdate,timestamp,
tender_contractperiod_durationindays,numeric,
tender_numberoftenderers,text,
tenderers_count,integer,
documents_count,bigint,
documenttype_counts,jsonb,
milestones_count,bigint,
milestonetype_counts,jsonb,
items_count,bigint,
